file,class,method,variable,usage
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,isTermuxPrefixDirectoryEmpty/0,LOG_TAG,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],LOG_TAG,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,toString/0,code,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,toString/0,type,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,toString/0,message,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,getType/0,type,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"getError/2[java.util.List<java.lang.Throwable>,java.lang.Object[]]",LOG_TAG,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,equalsErrorTypeAndCode/1[com.termux.shared.errors.Error],code,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,equalsErrorTypeAndCode/1[com.termux.shared.errors.Error],type,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,getMessage/0,message,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,getError/1[java.lang.Object[]],LOG_TAG,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"valueOf/2[java.lang.String,java.lang.Integer]",code,4
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"valueOf/2[java.lang.String,java.lang.Integer]",type,5
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"valueOf/2[java.lang.String,java.lang.Integer]",map,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"Errno/3[java.lang.String,int,java.lang.String]",code,4
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"Errno/3[java.lang.String,int,java.lang.String]",type,4
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"Errno/3[java.lang.String,int,java.lang.String]",message,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,"Errno/3[java.lang.String,int,java.lang.String]",map,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\errors\Errno.java,com.termux.shared.errors.Errno,getCode/0,code,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",LOG_TAG,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",NOTIFICATION_MODE_ALL,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",NOTIFICATION_MODE_NONE,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",NOTIFICATION_MODE_LIGHTS,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",NOTIFICATION_MODE_SOUND_AND_VIBRATE,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\notification\NotificationUtils.java,com.termux.shared.notification.NotificationUtils,"setNotificationDefaults/2[Notification.Builder,int]",NOTIFICATION_MODE_VIBRATE_AND_LIGHTS,1
