file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\old\ui\SettingsFragment.java,com.liskovsoft.smartyoutubetv2.tv.old.ui.SettingsFragment,class,9,10,1,9,5,3,0,7,8,0.73333335,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,3,2,0,3,0,0,2,0,0,46,4,0,0,0,0,2,0,6,0,6,0,0,1,0,37,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\data\VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,class,6,33,27,6,44,1,0,25,251,0.92011833,0.05533597,0.08695652,26,12,23,3,0,0,23,0,0,0,13,6,5,8,0,0,6,0,15,161,28,3,13,0,2,1,16,41,6,24,3,0,0,0,90,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\presenters\settings\ContentBlockSettingsPresenter.java,com.liskovsoft.smartyoutubetv2.common.app.presenters.settings.ContentBlockSettingsPresenter,class,9,10,1,9,11,2,0,39,8,0.625,0.0,0.0,8,1,3,5,0,0,3,0,0,0,2,1,0,2,0,0,2,0,14,70,2,2,4,0,0,3,0,17,0,22,3,0,0,9,56,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,class,17,19,2,17,10,2,0,23,4,0.7,0.3,0.6,5,0,4,0,1,0,5,0,0,0,6,1,0,6,0,0,4,0,1,59,1,0,3,0,3,0,4,14,3,13,2,1,0,0,47,1,1
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\ThumbsDownAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.ThumbsDownAction,class,2,3,1,2,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,1,0,0,0,0,10,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\autoframerate\internal\UhdHelper.java,com.liskovsoft.smartyoutubetv2.common.autoframerate.internal.UhdHelper$OverlayStateChangeReceiver,innerclass,3,3,0,3,3,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,11,0,0,1,0,1,2,2,2,0,1,1,0,0,0,46,2,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\playback\managers\HQDialogManager.java,com.liskovsoft.smartyoutubetv2.common.app.models.playback.managers.HQDialogManager,class,14,17,3,14,30,2,0,54,105,0.87134504,0.17857143,0.25,19,0,8,11,0,0,8,0,0,0,9,3,0,9,0,0,7,0,13,121,0,2,2,0,0,0,2,16,0,16,2,0,0,3,75,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\openvpn\src\main\java\de\blinkt\openvpn\api\APIVpnProfile.java,de.blinkt.openvpn.api.APIVpnProfile$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\old\data\VideoProvider.java,com.liskovsoft.smartyoutubetv2.tv.old.data.VideoProvider,class,14,15,1,14,29,2,0,25,0,0.63,0.7222222,0.7777778,10,2,7,2,0,1,9,0,0,0,10,8,0,10,0,0,8,0,3,192,14,1,5,1,0,20,11,27,14,24,3,0,0,0,93,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\openvpn\src\main\java\de\blinkt\openvpn\core\OpenVPNStatusService.java,de.blinkt.openvpn.core.OpenVPNStatusService$Anonymous1,anonymous,8,8,0,8,8,1,0,10,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,58,4,0,1,1,0,1,1,2,0,2,2,1,0,0,34,-1,0
