file,class,method,variable,usage
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\shell\StreamGobbler.java,com.termux.shared.shell.StreamGobbler$OnLineListener,onLine/1[java.lang.String],line,0
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getExpandedTermuxPaths/1[java.util.List<java.lang.String>],expandedPaths,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getExpandedTermuxPaths/1[java.util.List<java.lang.String>],paths,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getExpandedTermuxPaths/1[java.util.List<java.lang.String>],i,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxPrefixDirectoryAccessible/2[boolean,boolean]",setMissingPermissions,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxPrefixDirectoryAccessible/2[boolean,boolean]",createDirectoryIfMissing,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getUnExpandedTermuxPath/1[java.lang.String],path,7
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isAppsTermuxAppDirectoryAccessible/2[boolean,boolean]",setMissingPermissions,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isAppsTermuxAppDirectoryAccessible/2[boolean,boolean]",createDirectoryIfMissing,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,isTermuxPrefixDirectoryEmpty/0,error,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxFilesDirectoryAccessible/3[com.termux.shared.termux.file.Context,boolean,boolean]",setMissingPermissions,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxFilesDirectoryAccessible/3[com.termux.shared.termux.file.Context,boolean,boolean]",context,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxFilesDirectoryAccessible/3[com.termux.shared.termux.file.Context,boolean,boolean]",createDirectoryIfMissing,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxPrefixStagingDirectoryAccessible/2[boolean,boolean]",setMissingPermissions,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"isTermuxPrefixStagingDirectoryAccessible/2[boolean,boolean]",createDirectoryIfMissing,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getExpandedTermuxPath/1[java.lang.String],path,11
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getMatchedAllowedTermuxWorkingDirectoryParentPathForPath/1[java.lang.String],path,5
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],filesDir,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],statScript,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],appShell,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],termuxPackageContext,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],markdownString,6
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],context,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],stderrSet,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],executionCommand,11
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getTermuxFilesStatMarkdownString/1[com.termux.shared.termux.file.Context],statOutput,5
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getUnExpandedTermuxPaths/1[java.util.List<java.lang.String>],unExpandedPaths,2
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getUnExpandedTermuxPaths/1[java.util.List<java.lang.String>],paths,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,getUnExpandedTermuxPaths/1[java.util.List<java.lang.String>],i,3
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"validateDirectoryFileExistenceAndPermissions/7[java.lang.String,java.lang.String,boolean,boolean,boolean,boolean,boolean]",ignoreErrorsIfPathIsInParentDirPath,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"validateDirectoryFileExistenceAndPermissions/7[java.lang.String,java.lang.String,boolean,boolean,boolean,boolean,boolean]",ignoreIfNotExecutable,1
C:\Users\jeffr\OneDrive\Desktop\termux-app-master\termux-shared\src\main\java\com\termux\shared\termux\file\TermuxFileUtils.java,com.termux.shared.termux.file.TermuxFileUtils,"validateDirectoryFileExistenceAndPermissions/7[java.lang.String,java.lang.String,boolean,boolean,boolean,boolean,boolean]",filePath,2
