file,class,method,variable,usage
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t4,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t5,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t6,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t7,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t8,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t9,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,box,32
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,title,5
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,b1,6
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label4,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,b2,6
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label5,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label6,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t10,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label7,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label8,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label9,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t11,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label10,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label1,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label13,3
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label2,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label12,3
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label3,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,label11,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t1,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t2,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,frame,7
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,add_employee/0,t3,4
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t4,1
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t5,1
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t6,1
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t7,1
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t8,1
C:\Users\jeffr\OneDrive\Desktop\Empolyee-Management-System-master\EMS\src\Employee\add_employee.java,Employee.add_employee,actionPerformed/1[java.awt.event.ActionEvent],t9,1
