file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\DBConnection.java,servlets.DBConnection,DBConnection/0,true,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\DBConnection.java,servlets.DBConnection,(initializer 1),false,12,0,0,0,0,3,3,14,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,6,8,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\DBConnection.java,servlets.DBConnection,getCon/0,false,39,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,11,4,1,0,1,3,11,26,0,7,2,11,0,0,0,1,1,0,11,2,7,1,2,0,0,0,31,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,14,5,1,0,1,3,12,30,0,9,2,12,0,0,0,0,1,0,14,2,9,1,2,0,0,0,45,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,12,4,1,0,1,3,12,29,0,8,2,12,0,0,0,0,1,0,13,2,8,2,2,0,0,0,48,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,18,4,1,0,1,3,13,32,0,11,2,13,0,0,0,1,1,0,6,6,11,1,2,0,0,0,37,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\ViewBookServlet.java,servlets.ViewBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,11,4,1,0,1,3,12,29,0,10,2,12,0,0,1,0,1,0,26,5,10,8,2,0,0,0,36,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\ReceiptServlet.java,servlets.ReceiptServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,11,4,1,0,1,6,20,56,0,19,2,20,0,0,1,0,2,0,37,5,22,16,4,0,0,0,57,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserRegisterServlet.java,servlets.UserRegisterServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,12,4,1,0,1,3,12,37,0,13,2,12,0,0,0,1,1,0,6,10,13,1,2,0,0,0,35,1,0,false
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\BuyBooksServlet.java,servlets.BuyBooksServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",false,11,4,1,0,1,3,13,36,0,13,2,13,0,0,1,0,1,0,38,7,14,14,2,0,0,0,54,1,0,false
