file,class,method,variable,usage
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\DBConnection.java,servlets.DBConnection,(initializer 1),e,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",res,4
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",rd,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",con,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",ps,2
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",e,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",pw,4
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",bkid,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",k,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\RemoveBookServlet.java,servlets.RemoveBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",req,5
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",res,4
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",rs,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",rd,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",con,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",ps,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",uName,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",e,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",pw,5
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",ck,0
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",pWord,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AdminLoginServlet.java,servlets.AdminLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",req,6
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",res,4
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",rs,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",rd,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",con,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",ps,3
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",uName,2
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",e,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",pw,5
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",pWord,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\UserLoginServlet.java,servlets.UserLoginServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",req,6
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",res,4
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",con,1
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",ps,6
C:\Users\jeffr\OneDrive\Desktop\onlinebookstore-J2EE\OnlineBookStore\servlets\AddBookServlet.java,servlets.AddBookServlet,"service/2[servlets.ServletRequest,servlets.ServletResponse]",bName,1
